Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
IDS,N/A,30,20373,1.3919869577827584
A*,Manhattan,25,1207,1.3282147254623686
A*,Misplaced Titles,25,38515,1.5255456085810508
IDS,N/A,25,25808,1.5013092969468542
A*,Manhattan,17,263,1.3878749530987073
A*,Misplaced Titles,17,1337,1.5271794897341164
IDS,N/A,21,7642,1.5307864898055688
A*,Manhattan,24,1012,1.3341843887732752
A*,Misplaced Titles,24,25865,1.5270843278978645
IDS,N/A,40,112189,1.3373613163493634
A*,Manhattan,15,278,1.4552456833609049
A*,Misplaced Titles,15,759,1.556023380740853
IDS,N/A,25,22553,1.4932350411754103
A*,Manhattan,23,2260,1.399042158682064
A*,Misplaced Titles,23,18008,1.5311588128121967
IDS,N/A,27,23474,1.4516890343597744
A*,Manhattan,22,1154,1.3778158394786855
A*,Misplaced Titles,22,9168,1.5139216200893448
IDS,N/A,28,14824,1.4091689012311037
A*,Manhattan,19,961,1.4354413132731039
A*,Misplaced Titles,19,3956,1.5464264813838333
IDS,N/A,21,14207,1.5766605769401998
A*,Manhattan,22,988,1.3681235406627652
A*,Misplaced Titles,22,10978,1.5263711423936432
IDS,N/A,32,60677,1.410813163372288
A*,Manhattan,28,13113,1.403010069174839
A*,Misplaced Titles,28,85049,1.4998907082462245
IDS,N/A,34,41934,1.3675960321188072
A*,Manhattan,27,1161,1.2987103583802717
A*,Misplaced Titles,27,71808,1.513067326057068
IDS,N/A,33,28877,1.3651118752059053
A*,Manhattan,18,453,1.4046269966802503
A*,Misplaced Titles,18,2200,1.5335224878388907
IDS,N/A,20,11554,1.5963812497928558
A*,Manhattan,26,4606,1.3832385194813661
A*,Misplaced Titles,24,21554,1.5155269428477154
IDS,N/A,28,45262,1.4664802046436043
A*,Manhattan,16,146,1.3654382151516233
A*,Misplaced Titles,16,645,1.498295524184201
IDS,N/A,18,2338,1.5387144355160152
A*,Manhattan,16,91,1.3256842207304351
A*,Misplaced Titles,16,797,1.5182425023365007
IDS,N/A,16,5946,1.7214287682584934
A*,Manhattan,27,2272,1.331408788988017
A*,Misplaced Titles,27,71998,1.5132154149831765
IDS,N/A,31,93142,1.4464219975330235
A*,Manhattan,26,4222,1.3786150294838686
A*,Misplaced Titles,26,44354,1.5091353227925979
IDS,N/A,38,64015,1.338076978236338
A*,Manhattan,19,498,1.3866263189413672
A*,Misplaced Titles,19,3646,1.5397990060889344
